,position_info,posted_website,education_requirement,company_url,position_type,company,company_type,position_tag,position_advantage,experience_requirement,recruiting_number,company_finance,department,position,posted_url,major_requirement,company_size,date,monthly_salary_range,recruit_count,industry
38,负责QQ看点信息流产品推送场景算法研究及工程实践；基于海量用户数据，参与数据清洗和过滤、特征抽取、参数选择、算法实验、效果分析。本科以上学历，计算机、模式识别、人工智能、应用数学、统计、运筹学等专业；1年以上相关工作经验；对机器学习、深度学习、自然语言处理等相关算法原理及其在互联网行业的应用，有深入的理解和浓厚的兴趣；扎实的数据结构及算法功底；熟悉Linux；熟练掌握C/C++或Python或Java等编程语言；熟悉常用机器学习、深度学习框架，如Scikit-Learn、Tensorflow、PyTorch等；有一定海量数据处理经验，如Hive、Hadoop、Spark等；优秀的分析和解决问题的能力，富有好奇心，对挑战性问题充满激情；具有良好的学习能力，沟通能力，团队合作意识；加分项：有推荐系统、精准广告、信息检索等方面的实际工作经验者优先；国内外机器学习、深度学习相关核心期刊发表Paper者；Kaggle竞赛中获得优秀成绩者。,前程无忧,本科,,,深圳市腾讯计算机系统有限公司,民营公司,,,1年经验,招2人,,,SNG04-QQ看点推送内容推荐算法工程师（深圳）(职位编号：35363),http://jobs.51job.com/shenzhen/97329096.html?s=01&t=0,,500-1000人,27/12/2017,,2,"[互联网, 电子商务]"
39,岗位职责：1、负责项目分析所需数据的处理工作，为分析和运营人员提供数据支撑；2、总结业务需求规律，构建和维护中间表，优化数据预处理；3、负责数据分析应用报表开发；4、负责总结数据质量问题，定期向项目组报告。任职要求：1、大学专科3年以上工作经验，计算机相关专业；2、至少2年大数据类项目数据开发支撑经验；3、熟悉Hadoop相关技术，深刻理解MR原理和过程；4、精通HiveSQL，掌握基本的HQL优化技能；5、良好的服务意识和积极的沟通能力；6、熟悉电信运营商业务，具备运营商项目驻点支撑经验优先。,前程无忧,大专,,,彩讯科技股份有限公司,民营公司,,"五险一金,通讯补贴,定期体检,绩效奖金",3-4年经验,招若干人,,,Hive数据开发工程师,http://jobs.51job.com/beijing/92872181.html?s=01&t=0,,1000-5000人,26/12/2017,15000-18000,0,"[通信, 电信运营、增值服务,互联网, 电子商务]"
40,"岗位要求：1.2年以上大数据相关工作经验；2.熟练掌握Hadoop、Spark生态系统组件（MR、HBase、Hive、ZooKeeper、SparkSQL、SparkMlib等），有相关大数据架构,开发成功案例；3.熟悉hadoop相关各种开源项目，HiveHbase等有实际应用开发经验；4.熟悉Linux工作环境，熟悉SQL语言，除MySQL之外，至少熟悉以下一种NoSQL数据库：MySQL/HBase/Redis/MongoDB；5.对大数据行业有强烈兴趣，较强的团队合作与沟通能力，对解决挑战型问题充满激情；",前程无忧,,,,亚信软件CTC,合资,,"五险一金,补充医疗保险,通讯补贴,绩效奖金,年终奖金,定期体检",2年经验,招2人,,,Hive开发工程师,http://jobs.51job.com/guangzhou/89871720.html?s=01&t=0,,10000人以上,27/12/2017,8000-15000,2,[计算机软件]
41,岗位职责：负责数据库相关的工作岗位要求：1、专科及以上学历2、至少1年以上数据库或大数据开发经验3、精通Sql编程及性能调优4、熟练使用Hadoop生态圈技术，如：Hive、Hbase、Spark、Oozie等等5、熟悉Linux系统及shell编程6、具备较高的程序开发及调试能力；具备一定的系统设计能力7、良好的沟通技巧和团队合作意识,前程无忧,大专,,,深圳市德科信息技术有限公司,民营公司,,"五险一金,年终奖金,员工旅游,补充商业险,生日福利,节假日,专业培训",无工作经验,招2人,,,数据库工程师,http://jobs.51job.com/shanghai-pdxq/97312517.html?s=01&t=0,,500-1000人,27/12/2017,10000-20000,2,[计算机软件]
42,"岗位职责：1.数据库群的安装，日常管理和调优2.大数据类应用项目的调试，调优和日常管理3.数据的迁移、提取、统计等岗位要求：1.大学本科及以上学历，对数据平台管理工作有热情，3年到5年相关工作经验，有良好的沟通能力。2.熟悉Linux运维，熟悉自动化运维工具，能够使用shell，python等编程脚本3.熟悉mysql或oracle等关系型数据库4.熟悉云平台的部署运维5.熟悉Java，jvm的内存管理机制6.熟悉集群环境的网络调优方法7.熟悉Hadoop平台组要组件(HDFS,HBase,Spark,ElasticSearch等)优先8.互联网金融行业从业经验优先。",前程无忧,本科,,,美好分期,创业公司,,,无工作经验,招1人,,,大数据平台运维工程师,http://jobs.51job.com/shanghai-hpq/97298193.html?s=01&t=0,,50-150人,27/12/2017,15000-25000,1,"[互联网, 电子商务,金融, 投资, 证券]"
43,"岗位要求1.2年以上ETL项目开发和实施工作经验，掌握数据仓库相关知识、ETL数据流程设计2.熟悉Hadoop、Hive、HBase、Kafka、Flume、Spark等开源框架,熟悉UDF，使用过Nifi更佳3.熟悉主流关系数据库,熟练SQL开发，熟悉Linux，Shell，Java或者Python编程4.熟悉数据仓库领域数据模型设计方法，并有相关设计经验5.较好的沟通理解能力，性格乐观，态度踏实，积极上进职位描述1.数据仓库的ETL设计、开发、维护或项目管理2.和BI团队及需求部门进行有效沟通，跟进及问题解决3.负责数据管理工作，如研发规范、质量规范、保障规范的制定与推动实施落地4.用户商家画像的基础开发工作和一些基础标签提取",前程无忧,本科,,,中国婚博会,民营公司,,,无工作经验,招2人,,,数据仓库开发工程师,http://jobs.51job.com/hangzhou-xcq/97316293.html?s=01&t=0,,500-1000人,27/12/2017,13000-20000,2,"[互联网, 电子商务]"
44,岗位职责：1、负责大数据平台模块的设计、开发、测试工作；2、负责线上质量问题的定位与及时修复。任职要求：1、计算机相关专业本科及以上学历，两年或两年以上大数据项目工作经验；2、熟悉cdh、hadoop、hive、spark、ETL、数据可视化等组件及技术；3、熟练掌握Java语言，Spark、Sparkstreaming编程；4、有基于clouderaHadoop/Storm/Hive/Hbase等分布式系统的大数据应用开发经验者优先；5、认真踏实，有强烈的责任心和良好的沟通能力。,前程无忧,大专,,,北京海量数据技术股份有限公司,民营公司,,"五险一金,补充医疗保险,员工旅游,定期体检",无工作经验,招2人,,,CDH开发工程师,http://jobs.51job.com/shenzhen-nsq/96222847.html?s=01&t=0,,150-500人,27/12/2017,10000-20000,2,"[计算机服务(系统、数据服务、维修),计算机硬件]"
45,"职位描述：1、对现有的业务安全威胁感知平台进行开发与完善；2、参与公司业务后端产品的安全模块开发与完善；3、参与公司安全平台的完善开发工作，包括不限于waf，soc，安全分析类产品；4、跟踪了解安全业内攻防技术、研究、设计、实现等。任职要求：1、熟悉Hadoop相关技术，包括Mapreduce，Hive，Hbase，Spark，Storm等；2、熟悉shell，python等至少一种脚本语言使用，熟悉git，jira等工具；3、熟悉MySQL数据库,具有一定的SQL优化技巧;4、熟悉Java及web应用开发，了解分布式、多线程及高性能的设计与编码及性能调优5、具备一种或多种开发语言（scala，Python,Java等）的程序和算法开发能力，掌握常用数据结构和算法；6、有一定的数据分析和挖掘能力，能从海量数据提炼核心结果，及时发现和分析其中隐含的变化和问题，有数据分析、挖掘、清洗和建模的经验优先；7、有业务安全开发经验者优先。",前程无忧,大专,,,上海亮昕网络科技有限公司,合资,,"五险一金,餐饮补贴,弹性工作,股票期权,交通补贴,年终奖金,员工旅游,绩效奖金,通讯补贴,定期体检",3-4年经验,招1人,,,安全开发工程师,http://jobs.51job.com/shanghai-hpq/97308746.html?s=01&t=0,,500-1000人,27/12/2017,20000-30000,1,"[互联网, 电子商务,金融, 投资, 证券]"
46,"一、岗位职责：1、全面管理公司技术研发和项目管理工作,带领团队完成公司制定的产品研发目标；2、规划公司的技术发展路线与新产品开发，及时了解和监督技术发展战略规划的执行情况；3、负责重大技术项目的决策及方案审核，指导并参与核心代码的书写，组织解决项目开发过程中的重大技术问题；4、有效带领技术团队，监督及指导技术部门的工作，保证项目顺利落地，建立并完善公司各项研发规范及流程；5、了解行业新技术，新应用，并应用到公司产品研发和日常管理中；6、与其他部门协同沟通完成公司产品项目研发目标。二、任职资格：1、计算机科学技术专业毕业，硕士以上学历；2、在有一定规模的软公司（包括海外）从事过5年以上的专业工作，担任过软件研发总监或者有30人以上的软件开发队伍的实际负责人的经历，有丰富的软件队伍组织管理、协调经验；3、精通C/C++/JAVA/PHP等主流体系架构之两种架构和设计模式，熟悉大数据和云计算相关技术理论，具有较强的架构和设计经验，对现有大数据、云计算主要产品的相关技术有深刻研究和了解，；4、精通数据库设计、分析、代码编写和调试，熟悉MySql/SqlServer/Oracle三种数据库架构中任一种的具体操作；5、强大的系统分析能力，熟悉UML或者其他流行的系统分析工具之一；6、有智能交通领域大数据处理、实时监控以及UBI车险技术方面经验者优先，有MongoDB/Hadoop/Hbase/Cassandra/Storm/Spark/Hive等系统的开发经验者优先；7、强大的代码编写能力，以及对于开发部门员工的核心能力提升的培训能力。",前程无忧,硕士,,,上海经达信息科技股份有限公司,民营公司,,"五险一金,餐饮补贴,年终奖金,绩效奖金",5-7年经验,招1人,,,软件研发总监,http://jobs.51job.com/shanghai/92743451.html?s=01&t=0,,50-150人,27/12/2017,30000-50000,1,"[计算机服务(系统、数据服务、维修),交通, 运输, 物流]"
47,"岗位职责：1、负责大数据集群的组件规划、节点安装及扩容等实施工作；2、负责集群日常的监控巡检、告警处理、故障修复、系统升级、性能调优等技术服务工作；3、协助进行安全加固、参数调优、版本升级等工作；4、进行集群节假日的技术保障；5、进行集群的用户管理、权限分配、资源分配等工作；6、收集集群运行指标，编写维护日报及相关技术文档。任职要求：1、计算机相关专业，熟悉linux、tcp/ip网络原理等，掌握Linux操作系统的管理及优化，能够独立排查及解决操作系统层的各类问题；2、熟练掌握zookeeper、hadoop、hbase、spark、storm、hive、kafka、flume、impala、elasticsearch等大数据相关技术，至少精通其中2种；3、熟练掌握docker容器技术,对kubernetes、OpenStack管理docker要有较深认识；4、掌握Python、Java、Perl、Bash等语言中的一种；具有较好的编程能力；5、有良好的系统性能优化及故障排除能力；6、具备大规模集群运维、CloudStack,OpenStack实施运维经验者优先；",前程无忧,大专,,,成都惠强商贸有限公司,民营公司,,绩效奖金,3-4年经验,招1人,,,大数据运维工程师,http://jobs.51job.com/chengdu-gxq/97325284.html?s=01&t=0,,150-500人,27/12/2017,10000-15000,1,"[快速消费品(食品、饮料、化妆品),批发, 零售]"
48,,前程无忧,,,,博彦科技股份有限公司,外资（欧美）,,,5-7年经验,招1人,,,SaaS平台架构师-北京-03156,http://jobs.51job.com/beijing/97326255.html?s=01&t=0,,10000人以上,27/12/2017,40000-80000,1,"[计算机软件,通信, 电信, 网络设备]"
49,"职责表述：1.架构设计1.1协助技术总监负责平台产品整体技术框架的选型与搭建，以及第三方软件的选型；1.2协助技术总监负责制定相关平台的技术接入方案评估与合作开发；2.项目管理2.1负责参与针对技术难点组织进行攻关2.2负责参与检查和评估各项目的完成质量。3.技术管理3.1协助技术总监负责管理平台的整体核心技术，规范所有相关人员按照统一的标准进行实施；3.2负责组织研究行业最新产品的技术发展方向，主持制定技术发展战略规划；4.日常事务4.1负责系统性能优化，保证平台安全、稳定、快速运行；4.2协助技术总监负责制定技术人员的培训科目，及时提高技术人员的整体技能；知识要求1、熟悉JAVA、Python、C、PHP、Scala其中两种以上开发语言2、熟悉常见的分布式存储相关技术，包括HDFS，HBase、Hive、Redis、mongodb、Flume、Kafaka、Sqoop、Zookeeper等，至少熟练掌握其中2种技术的原理3、了解常见分布式计算框架和技术原理，如Hadoop、MapReduce、Storm、Spark等4、精通Java/J2EE,熟悉主流MVC、IoC、ORM框架，并深入理解其原理。5、熟悉SOA、RPC、ESB、MQ、ROA，SOA，事件驱动等技术架构。6、有持续和快速学习的习惯，有钻研和探索精神，并能快速实践7、分布式系统原理：CAP，最终一致性，幂等操作等8、大型网络应用结构：消息中间件，缓存，负载均衡，集群技术，数据同步高可用，可容灾分布式系统设计能力9、大容量数据存储和检索系统设计能力：数据库分区，NoSQL，搜索引擎等HR热线：刘经理18670310463（微信同号）注明：简历不可重复投递，一份即可生效",前程无忧,本科,,,湖南新环境房地产经纪连锁有限公司,民营公司,,"五险一金,员工旅游,出国机会,专业培训,通讯补贴,绩效奖金,年终奖金,弹性工作,定期团建,学习平台",3-4年经验,招1人,,,#Java架构师#/信息科技中心/自己的研发平台,http://jobs.51job.com/changsha-yhq/97325113.html?s=01&t=0,,500-1000人,27/12/2017,10000-15000,1,[专业服务(咨询、人力资源、财会)]
50,岗位职责：1.负责ETL开发，参与数据迁移方案设计。2.负责数据处理、关键技术问题的技术验证等任职要求：1.1-2年工作经验，计算机及相关专业本科及以上学历2.掌握数据仓库的相关内容，掌握ETL开发流程3.精通数据仓库的ETL开发规范及设计，熟悉主流ETL开发模式及ETL工具4.精通SQL及PL/SQL，能独立根据业务需求编写较复杂SQL，并具备一定的SQL调优能力5.熟练掌握ORACLE分区、索引、存储过程等技能6.熟练掌握1种或2种调度工具，理解调度系统在数据仓库中的意义7.熟悉hadoop、sas，熟练掌握基于phoenix、hbase、hive和spark等组件的ETL开发者优先,前程无忧,大专,,,深圳市中安信业创业投资有限公司总部,民营公司,,"五险一金,餐饮补贴,交通补贴,员工旅游,年终奖金",无工作经验,招1人,,,数据库开发工程师,http://jobs.51job.com/shenzhen-ftq/96215569.html?s=01&t=0,,1000-5000人,27/12/2017,12000-18000,1,"[金融, 投资, 证券,银行]"
51,"1、计算机及相关专业，有2年及以上的javaB/S系统开发经验。2、熟练Spring、Hibernate,struts2的使用。有丰富的后端服务经验；分布式系统经验者优先。3、熟练掌握关系数据库理论知识，熟练使用Oracle，msSQLserver等主流数据库产品。4、能在指导下完成编写工作。精通主流的开源框架和常用设计模式。5、熟悉weblogic、tomcat、jboss中的至少一种。熟悉实时数据处理和大数据处理开源框架和常用解决方案，有Redis、Hadoop、HBase开发经验者优先。6、拥有不断创新的思维和不断学习进取的精神。岗位职责：1.负责车联网应用系统的开发，设计并实现服务接口；2.按照软件设计的要求，完成模块的编码和测试工作；.3.按照研发体系要求，完成模块文档的维护和归档工作；",前程无忧,,,,郑州软通合力计算机技术有限公司,民营公司,,"五险一金,年终奖金",无工作经验,招5人,,,Java开发工程师,http://jobs.51job.com/guanchenghuizuqu/82152689.html?s=01&t=0,,150-500人,27/12/2017,6000-8000,5,"[计算机软件,外包服务]"
52,,前程无忧,本科,,,上海融吉信息科技有限公司,民营公司,,"五险一金,餐饮补贴,交通补贴",3-4年经验,招12人,,,大数据运维工程师,http://jobs.51job.com/beijing-hdq/97323525.html?s=01&t=0,,50-150人,27/12/2017,8000-10000,1,[计算机软件]
53,岗位职责：1.参与系统软件设计、技术方案编写工作；2.参与系统架构设计、实施工作；3.参与系统核心模块的开发工作；任职要求：1.计算机统招本科及相关专业，5年以上Java开发经验；2.精通java语言，熟练掌握SpringMVC、Struts2、iBatis等相关主流框架技术；3.熟悉mysql、sqlserver等关系型数据库及NOSQL，如redis、hbase等；4.熟悉html/javascript/jquery等web开发；5.有良好的沟通、交流能力，具有较强的团队合作意识；6.有大型网站、性能优化、分布式系统或者搜索开发经验者优先。,前程无忧,大专,,,北京圣特尔科技发展有限公司,民营公司,,"五险一金,员工旅游,交通补贴,餐饮补贴,专业培训,绩效奖金,股票期权",5-7年经验,招1人,,,Java高级开发工程师,http://jobs.51job.com/beijing-cyq/97188544.html?s=01&t=0,,500-1000人,27/12/2017,15000-30000,1,[计算机软件]
54,岗位职责:任职资格:,前程无忧,本科,,,虎彩印艺股份有限公司,民营公司,,"五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金,定期体检",无工作经验,招1人,,,架构师(职位编号：hucais002834),http://jobs.51job.com/guangzhou-thq/97329639.html?s=01&t=0,,5000-10000人,27/12/2017,20000-30000,1,"[印刷, 包装, 造纸]"
55,1.负责分析金融产品业务需求，结合不同业务场景规划，制定大数据模型开发工作和实施计划；2.对网络金融数据采集、处理及存储、应用方案的技术选型及架构实现；3.统筹模型建设工作，指导和管理大数据模型的开发、验证及测试工作；4.开展大数据建模相关领域的研究，提升公司大数据挖掘分析能力，形成技术储备任职要求：1.学历资格：大学本科（含）以上，金融学、统计学、数学、计算机等相关专业；2.五年以上java开发经验，具备专业分析团队领导经验；3.熟悉Storm/Hadoop/HBase/Hive/Spark/Solr等大数据技术之一；4.熟悉业内主流的大数据分析和数据挖掘算法，具备良好的数据结构和算法基础；5.较强的项目管理能力和沟通能力，良好的团队合作精神，逻辑思维强；6.较强的责任心，善于沟通，有良好的团队合作精神，能承受高压工作，责任心强。7.有金融或证券类公司的从业经验者优先。,前程无忧,本科,,,北京中方信富投资管理咨询有限公司南京分公司,民营公司,,"五险一金,补充公积金,员工旅游,交通补贴,餐饮补贴,专业培训,绩效奖金,年终奖金",8-9年经验,招若干人,,,金融数据建模师（奖金+五险一金+双休）,http://jobs.51job.com/nanjing/83914708.html?s=01&t=0,,150-500人,27/12/2017,10000-15000,0,"[金融, 投资, 证券,专业服务(咨询、人力资源、财会)]"
56,本岗位有二个方向，职位要求如下：（一）图像处理方向1.应用数学、计算机或相关专业，统招全日制研究生及以上学历，有2年及以上图像处理项目经验2.熟练使用（C++/Python/java/c#）语言编程(至少掌握2种)，动手能力强，并具备良好的代码与文档风格；3.熟练使用Opencv、CxImage、boost、QT等开源库，读过相应源码更佳。4.熟悉MATLAB，openGL有较强的算法分析和实现能力5.熟悉人脸识别、目标检测、跟踪和识别、图像处理等技术，有彩色图像处理的经验（包括3A、色彩校正、降噪、插值等），精通图像增强与提取、处理与识别、图像特征建模等算法开发。6.熟悉机器学习的基本工作原理及其架构（包括常用的搜索理论、推理策略、人工智能架构及其编程语言等），熟悉常用的智能学习算法（如贝叶斯算法、决策树、回归、SVM、感知器学习算法等）。有机器学习（和其算法）相关方面项目经验者优先。7.良好的沟通能力，有团队合作精神和责任感，勇于承担，较强的抗压能力。8.自学能力强，工作态度好，积极向上者为先。9.有医疗行业图像处理相关的经验者为先。（二）大数据方向1.计算机或相关专业，统招全日制研究生及以上学历；2年以上大数据处理项目经验。2.熟练使用（Java/C++/Python/MATLAB/R/Scala/.Net）语言编程，并具备良好的代码与文档风格。3.理解Nosql，熟悉Mongodb/Redis，熟练使用Mysql/SqlServer/Oracle数据库，有较强的SQL编码及调优能力。4.熟悉Hadoop/Spark/HBase/Hive/Storm/Kafka/Elasticsearch等大数据开源技术框架中至少2种，读过相应开源项目源码更佳。5.熟悉常用分布式系统开发技术。对分布式，高可靠性开发有自己的理解，熟悉虚拟化和云服务，熟悉数据安全架构及相关技术。6.良好的沟通能力，有团队合作精神和责任感，勇于承担，较强的抗压能力；7.自学能力强，工作态度好，积极向上者为先；8.有医疗行业大数据处理相关的经验者为先,前程无忧,硕士,,,上海道生医疗科技有限公司,民营公司,,"五险一金,定期体检,员工旅游,年终奖金,餐饮补贴",5-7年经验,招3人,,,图像算法工程师（软件研发部）,http://jobs.51job.com/shanghai-pdxq/96010683.html?s=01&t=0,,150-500人,27/12/2017,12000-18000,3,"[医疗设备, 器械,互联网, 电子商务]"
57,"岗位职责1、根据产品需求负责完成业务系统架构设计；2、核心应用系统开发与实现；3、保证系统稳定性，对系统性能及系统架构进行迭代优化；4、规范文档的编写、维护，以及其他与项目相关工作；5、帮助团队其他成员解决技术问题及进行相关技术分享；6、跟踪并研究***并能应用于实际业务流程。任职要求1、JAVA基础扎实,了解I/O、多线程、J2EE等相关知识，对JVM原理有一定的了解，有良好的开发习惯；2、有Socket编程经验,了解NIO,了解netty,mina等架构；3、熟悉SpringMvc、Spring、MyBatis等开源技术架构；4、理解各种设计模式，有良好的编码习惯；5、熟悉基于Oracle、MySql数据库的设计和开发,了解NoSql数据库MongoDBg、Hbase；6、掌握JSON、XML等格式；熟悉Tomcat,*MQ,Redis等中间件；7、具有良好的语言表达能力和沟通能力，可以完成和业务人员的需求沟通；8、具备良好的沟通、团队合作、技术指导能力；9、有车联网/物联网相关开发背景优先。",前程无忧,大专,,,斯润天朗（北京）科技有限公司,民营公司,,"五险一金,补充医疗保险,员工旅游,年终奖金,股票期权,定期体检,弹性工作,绩效奖金",无工作经验,招3人,,,高级java后台开发工程师,http://jobs.51job.com/beijing-ftq/80199200.html?s=01&t=0,,50-150人,27/12/2017,15000-25000,3,[计算机软件]
58,"岗位职责：1.负责基于原始数据的分析挖掘工作。2.负责机器学习在业务场景中的应用模型构建。3.负责基于大数据应用和数据分析中技术难点的攻关工作。4.引领技术团队进行技术攻关，指导开发人员开发，构建良好的技术、团队氛围。岗位要求：1、3年以上工作经验，大专以上学历，计算机相关专业；2、熟悉Hadoop家族各组件的应用，如:hbase,hdfs,storm,kylin,presto,impala等；3、熟悉数据模型的构建、机器学习中各算法的应用和优缺点；4、熟悉SparkMllib，TensorFlow、MXnet中的一种；5、编程功底扎实，至少熟悉Java、Python、Scala中的至少一种语言；6、有基于大数据数各框架的数据挖掘经验优先；7、有机器学习、人工智能实际应用经验优先；8、有广告行业的用户画像，智能推荐引擎的模型设计经验优先；9、有基于大数据的整体架构和业务数据流的应用场景构建或运维经验优先。",前程无忧,大专,,,广州逸趣信息科技有限公司,上市公司,,"五险一金,餐饮补贴,弹性工作,通讯补贴,定期体检,员工旅游",无工作经验,招若干人,,,架构师/技术专家,http://jobs.51job.com/guangzhou-thq/97332092.html?s=01&t=0,,50-150人,27/12/2017,15000-22000,0,"[互联网, 电子商务]"
59,"负责百亿级流量后台服务开发和优化工作；为腾讯合作伙伴（京东、美团等）提供最优的服务质量保障。计算机及计算机相关专业本科或以上学历；三年以上Unix/Linux下C/C++开发经验，熟练掌握PHP/Python/NodeJS等至少一种脚本语言；精通TCP/IP协议，熟练掌握网络编程，精通多线程多进程开发；熟悉zookeeper，Hbase，HDFS，Lucene，Redis，MongoDB，rabbitmq，kafka等其中2种开源系统的技术原理；大规模高并发分布式系统架构设计和优化经验；善于沟通及主动思考总结,倡导创新与持续优化,思路周密,代码严谨,对待技术有强烈兴趣；有良好的团队合作及抗压能力,有强烈的主人翁意识推进事务进展；具备较强的项目管理能力、新人培养能力。",前程无忧,本科,,,深圳市腾讯计算机系统有限公司,民营公司,,,3-4年经验,招1人,,,MIG16-开放平台后台开发高级工程师（北京）(职位编号：35371),http://jobs.51job.com/beijing/97329105.html?s=01&t=0,,500-1000人,27/12/2017,,1,"[互联网, 电子商务]"
60,"岗位职责：1、基于Hadoop、Hbase进行设计／二次开发、开发分布式计算业务；2、管理Hadoop、hbase集群运行，稳定提供平台服务。岗位要求：1、熟练掌握JAVASE技术，精通JDK的使用(IO,NIO,容器,反射机制、异常)；2、熟练掌握hadoop或hbase设计原理，至少有二年以上实际开发经验。3、熟悉常用设计模式，并能根据不同场景选择合适的设计模式来优化系统处理模式；4、善于不断学习新技术，具备较强的研发能力。5、理解面向对象编程思想（类、对象、重载、继承、多态）；6、熟悉Linux管理和使用及SHELL使用；7、有良好的沟通表达能力，善于团队合作。优先录用要求：1、负责大型项目的架构设计职务；2、对hadoop，hbase有深度的调优经验；3、熟悉lucene,solr等搜索技术；4、熟悉数据挖掘，人工智能技术；5、担任过项目经理等管理职务；6、了解hive,zookeeper,strom等技术；",前程无忧,本科,,,广州市邦富软件有限公司,民营公司,,"五险一金,补充医疗保险,年终奖金,绩效奖金,餐饮补贴,弹性工作",3-4年经验,招1人,,,Hadoop/Hbase平台架构师,http://jobs.51job.com/guangzhou-thq/55999433.html?s=01&t=0,,150-500人,02/11/2017,10000-15000,1,"[计算机软件,互联网, 电子商务]"
61,"岗位职责：1.负责Hadoop/HBase集群的大规模、高可用和稳定性开发工作；2.完善Hadoop/HBase监控，参与HBase制定化开发；3.跟进Hadoop/HBase新特性，保持和社区同步；4.负责Hbase二级索引体系维护。任职要求：1.本科或以上学历，3年以上工作经验，计算机专业优先；2.熟悉Java，shell，python,Scale；3.精通Hadoop/HBase/Zookeeper，运维过Hbase集群且经验丰富；4.喜欢coding，热爱探索和钻研，参与过开源软件开发或者给某个开源项目提过BUG者优先。",前程无忧,本科,,,深圳白骑士大数据有限公司,民营公司,,"五险一金,员工旅游,交通补贴,通讯补贴,专业培训,年终奖金,股票期权,弹性工作,定期体检",无工作经验,招1人,,,hbase研发工程师,http://jobs.51job.com/shenzhen-nsq/93063134.html?s=01&t=0,,50-150人,02/11/2017,22000-32000,1,"[计算机服务(系统、数据服务、维修),金融, 投资, 证券]"
62,"岗位职责：1、负责技术架构和技术管理，重构、优化现有的技术架构，提高系统稳定性、可扩展性、安全性；根据业务规划，制定技术规划，制定相关的架构方案；2、负责产品的技术选型，设计产品技术架构、接口规范，为开发人员提供更加快速有效的开发框架、服务、公用组件；3、解决项目中的关键架构问题和技术难题，负责项目中关键技术难点的攻关和预研；4、带领团队完成项目交付，对开发团队进行技术指导和培训。任职要求：1、本科及以上学历，计算机或相关专业，5年以上相关开发经验。2、精通Java开发语言，熟练使用Eclipse开发工具；熟练使用SSH（struts，spring，hibernate）、ajax,HTML。CSS、XML，js,JUnit；熟悉常用型数据库，如ORACLE/MYSQL等；熟悉io、多线程、集合等基础框架，熟悉分布式系统的设计和应用。3、熟悉分布式、缓存、消息、搜索等机制；熟悉常用的缓存组件、缓存类型、缓存策略。4、熟悉J2EE规范，熟悉常用的设计模式，精通Java及Web的开发和应用，熟悉大数据量、高并发、高性能的分布式系统的设计及应用、调优；5、熟悉基于Java的分布式服务框架和分布式计算技术,包括SSH、Hadoop、HBase、Spark等。6、具备项目需求分析、技术架构设计及建模、系统开发的成熟经验。7、良好的沟通能力及严谨的思维能力；良好的团队激励和团队合作意识，强烈的责任心和解决问题的能力。8、有短信接口开发，cmpp通讯开发者优先考虑。8、精通MySQL数据库,熟悉高性能事务处理相关的技术(消息队列,中间件等)。",前程无忧,本科,,,北京鸿联九五信息产业有限公司,合资,,"五险一金,补充医疗保险,餐饮补贴,弹性工作,定期体检,专业培训,绩效奖金,员工旅游,年终奖金,周末双休",5-7年经验,招1人,,,技术主管,http://jobs.51job.com/beijing-cyq/96714627.html?s=01&t=0,,5000-10000人,27/12/2017,18000-25000,1,"[通信, 电信运营、增值服务]"
63,岗位职责：1、负责大规模HBase集群高可用架构设计及稳定性建设；2、满足业务海量数据的高性能、大并发实时存储查询需求，为应用提供平台级支持和前瞻性的技术解决方案；3、深度参与HBase源码级别开发、核心优化、功能模块改进的二次开发，参与到开源社区建设和贡献代码；4、主持HBase新技术架构方向研究、规划，攻克技术难关，提高数据安全和可靠性、提升集群数据处理能力和吞吐量。任职要求：1、五年以上Java语言开发分布式系统经验，精通shell、python、java、scala中至少两种以上语言；2、深刻理解软件设计原则和设计模式，深入理解数据库、数据仓库、大数据、分布式体系架构和关键技术；3、精通Hadoop、HBase、Zookeeper等运行机制和工作原理，参与过开源软件开发，有HBase源码贡献或阅读能力；4、熟悉大数据生态技术，如Storm、Spark、Flume、Kafka、Phoenix等，有大规模分布式系统故障处理能力；5、能熟练的阅读英文论文与文档，熟练使用英文邮件沟通问题；6、技术视野广阔，逻辑性强，具有良好的沟通协作能力，热爱探索和钻研，较强的分享精神。,前程无忧,本科,,,北京快方科技有限公司,民营公司,,"五险一金,员工旅游,绩效奖金",5-7年经验,招3人,,,大数据架构师（HBase方向）,http://jobs.51job.com/beijing-hdq/93251534.html?s=01&t=0,,150-500人,10/11/2017,15000-30000,3,"[互联网, 电子商务,生活服务]"
